year,subfield,subfield_label,patents_50,patents_86,patents_93,avg_score
1982,planning,Planning & Reasoning,519,263,233,0.011606785299570268
1982,evo,Evolutionary Computation,48,9,9,0.003774830173004135
1982,kr,Knowledge Representation,78,22,21,0.0033808608235607776
1982,hardware,AI Hardware,540,265,235,0.013075212308665889
1983,ml,Machine Learning,69,30,27,0.0026894222250059955
1983,nlp,Natural Language Processing,143,91,84,0.01106561043730488
1983,vision,Computer Vision,396,235,218,0.010483606984650293
1983,speech,Speech Recognition,146,109,105,0.0037679581111301355
1983,planning,Planning & Reasoning,494,253,226,0.011233347442742566
1983,evo,Evolutionary Computation,59,11,9,0.0037742165037069064
1983,kr,Knowledge Representation,73,20,14,0.003093432881344605
1983,hardware,AI Hardware,497,251,222,0.01278418698106644
1984,ml,Machine Learning,103,45,41,0.003088934349942501
1984,nlp,Natural Language Processing,180,120,116,0.011145443299739346
1984,vision,Computer Vision,521,317,300,0.010957016663871092
1984,speech,Speech Recognition,178,147,142,0.003961890149868978
1984,planning,Planning & Reasoning,641,342,300,0.01232986246171907
1984,evo,Evolutionary Computation,60,14,12,0.0036604535329114213
1984,kr,Knowledge Representation,88,21,16,0.0031693199306971442
1984,hardware,AI Hardware,673,346,309,0.01375022009222686
1985,ml,Machine Learning,118,52,44,0.003164343771100719
1985,nlp,Natural Language Processing,173,102,100,0.010774624843771013
1985,vision,Computer Vision,663,405,367,0.012753805436308234
1985,speech,Speech Recognition,168,127,119,0.0036150486782659716
1985,planning,Planning & Reasoning,792,403,360,0.013652433813005165
1985,evo,Evolutionary Computation,102,32,22,0.0043124113471955895
1985,kr,Knowledge Representation,129,37,32,0.0035684184138936046
1985,hardware,AI Hardware,713,367,329,0.013899370806979516
1986,ml,Machine Learning,128,69,63,0.0035494285893520865
1986,nlp,Natural Language Processing,190,121,114,0.010867972669876269
1986,vision,Computer Vision,774,467,441,0.014616435153701729
1986,speech,Speech Recognition,193,145,143,0.003916746707851733
1986,planning,Planning & Reasoning,708,368,334,0.012671479073247645
1986,evo,Evolutionary Computation,83,23,19,0.0042341074613678935
1986,kr,Knowledge Representation,127,47,32,0.003666202093595721
1986,hardware,AI Hardware,822,405,357,0.015623203664018445
1987,ml,Machine Learning,165,88,73,0.0036995252116216923
1987,nlp,Natural Language Processing,264,162,150,0.011261395646333439
1987,vision,Computer Vision,1171,715,659,0.017912701420801615
1987,speech,Speech Recognition,237,179,174,0.004078358548713217
1987,planning,Planning & Reasoning,1050,591,516,0.015401543156873806
1987,evo,Evolutionary Computation,120,22,19,0.004461345285474514
1987,kr,Knowledge Representation,147,63,55,0.00362709855631956
1987,hardware,AI Hardware,1007,527,476,0.015976628330052114
1988,ml,Machine Learning,201,120,112,0.0043467280589619415
1988,nlp,Natural Language Processing,238,170,163,0.011255425322052169
1988,vision,Computer Vision,1089,686,645,0.017853127191367342
1988,speech,Speech Recognition,230,180,173,0.0041658918762930664
1988,planning,Planning & Reasoning,907,470,431,0.014452907695045626
1988,evo,Evolutionary Computation,110,25,20,0.004335366847650818
1988,kr,Knowledge Representation,169,67,58,0.004040324658145945
1988,hardware,AI Hardware,1017,572,532,0.01723681648760114
1989,ml,Machine Learning,323,201,188,0.005179519143947164
1989,nlp,Natural Language Processing,398,274,259,0.012189824209382569
1989,vision,Computer Vision,1466,923,862,0.019307383283401133
1989,speech,Speech Recognition,336,272,267,0.004761313278405986
1989,planning,Planning & Reasoning,1252,692,616,0.015798599966657022
1989,evo,Evolutionary Computation,154,53,46,0.004750970960758316
1989,kr,Knowledge Representation,249,104,95,0.004689090640719906
1989,hardware,AI Hardware,1476,868,778,0.019622312590016285
1990,ml,Machine Learning,364,234,219,0.005812643222819701
1990,nlp,Natural Language Processing,392,259,250,0.012283996538221775
1990,vision,Computer Vision,1469,976,915,0.020300713743539197
1990,speech,Speech Recognition,309,236,232,0.004565396687484648
1990,planning,Planning & Reasoning,1230,707,642,0.016341254101119557
1990,evo,Evolutionary Computation,161,46,34,0.004676911811435525
1990,kr,Knowledge Representation,271,122,107,0.004952229691955138
1990,hardware,AI Hardware,1347,803,737,0.018928632584198555
1991,ml,Machine Learning,405,271,245,0.005986521612018754
1991,nlp,Natural Language Processing,406,280,266,0.012162303728734477
1991,vision,Computer Vision,1674,1117,1050,0.021714548567782235
1991,speech,Speech Recognition,284,229,226,0.004169167537608501
1991,planning,Planning & Reasoning,1338,796,716,0.016831622974806677
1991,evo,Evolutionary Computation,144,44,37,0.004537132388661704
1991,kr,Knowledge Representation,329,158,142,0.005357969053895428
1991,hardware,AI Hardware,1482,866,788,0.019531880315871435
1992,ml,Machine Learning,504,345,330,0.007059610275263352
1992,nlp,Natural Language Processing,413,291,281,0.012220579743963336
1992,vision,Computer Vision,1783,1209,1147,0.02245491885312672
1992,speech,Speech Recognition,305,238,229,0.004308779159044199
1992,planning,Planning & Reasoning,1472,845,778,0.01800921978385054
1992,evo,Evolutionary Computation,173,60,46,0.004848374132945603
1992,kr,Knowledge Representation,367,185,158,0.005847705336541413
1992,hardware,AI Hardware,1665,1016,942,0.021229460336258995
1993,ml,Machine Learning,645,454,421,0.00836706160568575
1993,nlp,Natural Language Processing,491,352,332,0.012918275076116608
1993,vision,Computer Vision,2012,1342,1247,0.02439459189976974
1993,speech,Speech Recognition,378,295,285,0.004945753194828826
1993,planning,Planning & Reasoning,1703,1022,939,0.020260790213723092
1993,evo,Evolutionary Computation,195,82,72,0.005275713613126155
1993,kr,Knowledge Representation,470,234,216,0.006885922782733707
1993,hardware,AI Hardware,1975,1205,1115,0.024139714773496756
1994,ml,Machine Learning,706,506,480,0.008842272193361884
1994,nlp,Natural Language Processing,610,410,389,0.013553171705882668
1994,vision,Computer Vision,2277,1540,1450,0.02657422029971481
1994,speech,Speech Recognition,383,315,305,0.004942683109879268
1994,planning,Planning & Reasoning,1885,1155,1061,0.021619461912214748
1994,evo,Evolutionary Computation,267,98,83,0.005792649555697949
1994,kr,Knowledge Representation,607,313,292,0.008257835976415356
1994,hardware,AI Hardware,2340,1483,1369,0.027623038126755085
1995,ml,Machine Learning,800,554,525,0.009821673759097715
1995,nlp,Natural Language Processing,600,409,397,0.013538644943230437
1995,vision,Computer Vision,2422,1640,1549,0.02794179597460284
1995,speech,Speech Recognition,439,347,335,0.00555231283064372
1995,planning,Planning & Reasoning,1969,1189,1114,0.0225999828226516
1995,evo,Evolutionary Computation,253,93,80,0.005724303957498703
1995,kr,Knowledge Representation,701,371,330,0.009346631720473075
1995,hardware,AI Hardware,2652,1678,1550,0.030417792031137758
1996,ml,Machine Learning,885,608,586,0.010262254420539635
1996,nlp,Natural Language Processing,850,563,523,0.015280948018106016
1996,vision,Computer Vision,2870,1955,1840,0.030738528688658073
1996,speech,Speech Recognition,569,434,418,0.00638210823555825
1996,planning,Planning & Reasoning,2456,1520,1409,0.02567288129455638
1996,evo,Evolutionary Computation,339,129,111,0.006585188267417895
1996,kr,Knowledge Representation,911,503,450,0.010844978236400996
1996,hardware,AI Hardware,3293,2116,1948,0.03450311908764368
1997,ml,Machine Learning,966,670,640,0.010518532496275223
1997,nlp,Natural Language Processing,938,656,628,0.01575394949441073
1997,vision,Computer Vision,2881,1950,1832,0.030303613760670933
1997,speech,Speech Recognition,703,564,546,0.007374790625748634
1997,planning,Planning & Reasoning,2469,1549,1422,0.02546256539931584
1997,evo,Evolutionary Computation,382,134,118,0.00689257047884001
1997,kr,Knowledge Representation,1014,535,477,0.011522240764733372
1997,hardware,AI Hardware,3432,2151,1966,0.03516291992105806
1998,ml,Machine Learning,1465,1024,976,0.012134422133348309
1998,nlp,Natural Language Processing,1657,1224,1168,0.01871394240007513
1998,vision,Computer Vision,4329,3022,2856,0.03401966000766171
1998,speech,Speech Recognition,1128,935,916,0.008856145696426397
1998,planning,Planning & Reasoning,3940,2524,2352,0.030295781752726958
1998,evo,Evolutionary Computation,583,232,198,0.007644673251375972
1998,kr,Knowledge Representation,1782,1027,931,0.015143818812419427
1998,hardware,AI Hardware,5586,3605,3343,0.04261643204351322
1999,ml,Machine Learning,1352,878,832,0.010867594212882858
1999,nlp,Natural Language Processing,1743,1276,1224,0.018907924410453043
1999,vision,Computer Vision,4360,3041,2886,0.032905575017562125
1999,speech,Speech Recognition,1065,896,875,0.008099328473878904
1999,planning,Planning & Reasoning,4124,2595,2394,0.030495158799046115
1999,evo,Evolutionary Computation,623,251,217,0.007608168124470759
1999,kr,Knowledge Representation,1925,1061,966,0.015329712410959376
1999,hardware,AI Hardware,5702,3612,3312,0.04209209322659504
2000,ml,Machine Learning,1379,888,837,0.01087710339710251
2000,nlp,Natural Language Processing,1706,1194,1146,0.018160547266741968
2000,vision,Computer Vision,4383,3058,2871,0.03209635189648516
2000,speech,Speech Recognition,1026,860,832,0.0076434953843430254
2000,planning,Planning & Reasoning,4444,2773,2561,0.03182806159522381
2000,evo,Evolutionary Computation,604,248,220,0.007555262408582703
2000,kr,Knowledge Representation,2043,1167,1068,0.015968184715928355
2000,hardware,AI Hardware,5699,3542,3223,0.04093917524230085
